code,location,interlevel,original
012811008,CARIBQUIB,Bgy,True
012811009,CATAGTAGUEN,Bgy,True
012811011,CRISPINA,Bgy,True
012811012,HILARIO (POB.),Bgy,True
012811012,HILARIO,Bgy,False
012811013,IMELDA,Bgy,True
012811014,LORENZO,Bgy,False
012811014,LORENZO (POB.),Bgy,True
012811015,MACAYEPYEP,Bgy,True
012811016,MARCOS,Bgy,False
012811016,MARCOS (POB.),Bgy,True
012811017,NAGPATAYAN,Bgy,True
012811018,VALDEZ,Bgy,True
012811019,SINAMAR,Bgy,True
012811020,TABTABAGAN,Bgy,True
012811021,VALENCIANO,Bgy,False
012811021,VALENCIANO (POB.),Bgy,True
012811022,BINACAG,Bgy,True
012812000,CITY OF LAOAG (CAPITAL),City,True
012812000,LAOAG,City,False
012812000,CAPITAL,City,False
012812001,BGY. NO. 42,Bgy,False
012812001,APAYA,Bgy,False
012812001,"BGY. NO. 42, APAYA",Bgy,True
012812002,"BGY. NO. 36, ARANIW",Bgy,True
012812002,ARANIW,Bgy,False
012812002,BGY. NO. 36,Bgy,False
012812003,"BGY. NO. 56-A, BACSIL NORTH",Bgy,True
012812003,BGY. NO. 56-A,Bgy,False
012812003,BACSIL NORTH,Bgy,False
012812004,"BGY. NO. 56-B, BACSIL SOUTH",Bgy,True
012812004,BACSIL SOUTH,Bgy,False
012812004,BGY. NO. 56-B,Bgy,False
012812005,BGY. NO. 41,Bgy,False
012812005,BALACAD,Bgy,False
012812005,"BGY. NO. 41, BALACAD",Bgy,True
012812006,"BGY. NO. 40, BALATONG",Bgy,True
012812006,BALATONG,Bgy,False
012812006,BGY. NO. 40,Bgy,False
012812007,BARIT-PANDAN,Bgy,False
012812007,BGY. NO. 55-A,Bgy,False
012812007,"BGY. NO. 55-A, BARIT-PANDAN",Bgy,True
012812008,BENGCAG,Bgy,False
012812008,"BGY. NO. 47, BENGCAG",Bgy,True
012812008,BGY. NO. 47,Bgy,False
012812009,"BGY. NO. 50, BUTTONG",Bgy,True
012812009,BGY. NO. 50,Bgy,False
012812009,BUTTONG,Bgy,False
012812010,CAAOACAN,Bgy,False
012812010,BGY. NO. 60-A,Bgy,False
012812010,"BGY. NO. 60-A, CAAOACAN",Bgy,True
012812011,CABUNGAAN NORTH,Bgy,False
012812011,"BRY. NO. 48-A, CABUNGAAN NORTH",Bgy,True
012812011,BRY. NO. 48-A,Bgy,False
012812012,BGY. NO. 48-B,Bgy,False
012812012,CABUNGAAN SOUTH,Bgy,False
012812012,"BGY. NO. 48-B, CABUNGAAN SOUTH",Bgy,True
012812013,CALAYAB,Bgy,False
012812013,"BGY. NO. 37, CALAYAB",Bgy,True
012812013,BGY. NO. 37,Bgy,False
012812014,"BGY. NO. 54-B, CAMANGAAN",Bgy,True
012812014,BGY. NO. 54-B,Bgy,False
012812014,CAMANGAAN,Bgy,False
012812015,BGY. NO. 58,Bgy,False
012812015,CASILI,Bgy,False
012812015,"BGY. NO. 58, CASILI",Bgy,True
012812016,"BGY. NO. 61, CATABAN",Bgy,True
012812016,BGY. NO. 61,Bgy,False
012812016,CATABAN,Bgy,False
012812017,BGY. NO. 43,Bgy,False
012812017,CAVIT,Bgy,False
012812017,"BGY. NO. 43, CAVIT",Bgy,True
012812019,"BGY. NO. 49-A, DARAYDAY",Bgy,True
012812019,DARAYDAY,Bgy,False
012812019,BGY. NO. 49-A,Bgy,False
012812020,"BGY. NO. 59-B, DIBUA NORTH",Bgy,True
012812020,DIBUA NORTH,Bgy,False
012812020,BGY. NO. 59-B,Bgy,False
012812021,"BGY. NO. 59-A, DIBUA SOUTH",Bgy,True
012812021,DIBUA SOUTH,Bgy,False
012812021,BGY. NO. 59-A,Bgy,False
012812022,GABU NORTE EAST,Bgy,False
012812022,BGY. NO. 34-B,Bgy,False
012812022,"BGY. NO. 34-B, GABU NORTE EAST",Bgy,True
